复旦计算机,句子数量,464392,方法,mi,support,10,阈值,200
复合词,复合词,复合词数量,词1数量,词2数量,方法算出值
人机交互,人机/交互,37,94,731,250.058270513
次序排列,次序/排列,12,152,138,265.670480549
推导出,推/导出,10,157,125,236.632866242
苹果电脑,苹果/电脑,11,33,297,521.203142536
虚拟现实,虚拟/现实,119,961,267,215.375868614
尤为重要,尤为/重要,16,23,1145,282.144370609
通讯联系人,通讯/联系人,114,336,121,1302.16174734
VC合并,VC/合并,21,114,375,228.122385965
安放距离,安放/距离,17,28,643,438.495001111
第四届,第四/届,11,61,85,985.209643202
明焰窑,明焰/窑,10,12,19,20368.0701754
证据论,证据/论,18,95,236,372.839250669
维护型意愿,维护型/意愿,28,36,152,2376.2748538
缺损频谱,缺损/频谱,21,27,79,4572.07313643
吞吐率,吞吐/率,28,29,599,748.545046342
自动建树,自动/建树,12,1174,19,249.829821573
漫反射,漫/反射,11,12,52,8186.3974359
机械手力,机械手/力,16,164,213,212.706744532
CCD摄像机,CCD/摄像机,10,25,254,731.325984252
蚁群,蚁/群,61,62,201,2273.14331568
警戒测试,警戒/测试,14,16,1185,342.905485232
通孔,通/孔,17,217,48,757.93625192
反向传播,反向/传播,34,86,181,1014.3471669
角度来看,角度/来看,25,328,70,505.653310105
Cisco公司,Cisco/公司,10,21,624,354.389499389
运土,运/土,13,39,15,10319.8222222
SPI调节器,SPI/调节器,23,59,99,1828.62797466
检诊,检/诊,10,43,14,7714.15282392
驾驶仪,驾驶/仪,10,25,28,6634.17142857
广州510641,广州/510641,12,44,13,9742.48951049
指数增长,指数/增长,14,250,127,204.771275591
指纹图象,指纹图/象,19,20,1254,351.812121212
Hangzhou310027,Hangzhou/310027,21,24,123,3303.60162602
孤立子系统,孤立/子系统,15,51,424,322.136514983
全文检索,全文/检索,44,90,570,398.308927875
析构,析/构,13,17,269,1320.16094468
有效载荷,有效/载荷,11,1232,16,259.147321429
KL变换,KL/变换,10,17,962,283.962333374
包容件,包容/件,12,31,762,235.911607823
分划,分/划,16,738,36,279.669978922
分形,分/形,130,738,374,218.725852499
心理意象,心理/意象,13,34,45,3945.81437908
音响模拟,音响/模拟,10,21,816,271.003734827
串行生产线,串行/生产线,45,448,136,342.989101891
工程师站,工程师/站,18,90,202,459.794059406
本征,本/征,46,1204,55,322.591845364
报表生成器,报表/生成器,12,220,116,218.366144201
业界,业/界,17,30,716,367.53556797
csg_node结,csg_node/结,21,21,1492,311.254691689
学术期刊,学术/期刊,18,195,53,808.810449927
反射光,反射/光,13,52,118,983.881355932
干扰衰减,干扰/衰减,10,269,67,257.666315264
笔划串,笔划/串,12,44,576,219.882575758
出行者,出行/者,10,29,736,217.574962519
暂时事务,暂时/事务,52,81,652,457.251836704
互操作性,互/操作性,75,317,88,1248.54459421
趋近,趋/近,16,49,572,265.101755387
从属显示器,从属/显示器,22,36,138,2056.4863124
JAR文件,JAR/文件,11,13,1823,215.549685641
夭折率,夭折/率,13,38,599,265.226957209
简要介绍,简要/介绍,33,62,804,307.433317285
充分发挥,充分/发挥,34,721,85,257.637725381
无线寻呼,无线/寻呼,16,126,71,830.569192935
枚举,枚/举,27,32,58,6755.70258621
汉语句子,汉语/句子,11,128,156,255.824919872
菜单项,菜/单项,11,11,18,25799.5555556
样式模板,样式/模板,17,54,521,280.609369446
长期从事,长期/从事,14,66,156,631.457653458
MSMail连接器,MSMail/连接器,11,12,74,5752.6036036
置信度,置信/度,23,34,1101,285.329272854
经验风险,经验/风险,22,250,95,430.173642105
宿主操作系统,宿主/操作系统,11,30,462,368.565079365
金融机构,金融/机构,15,64,249,437.115963855
镜头频度,镜头/频度,22,166,42,1465.37923121
镜头切变,镜头/切变,12,166,20,1678.5253012
国家教育部,国家/教育部,11,816,19,329.483488132
三角网格,三角/网格,59,150,539,338.888410637
磁浮列车,磁浮/列车,14,14,19,24441.6842105
掩码,掩/码,17,19,513,809.958346158
优先次序,优先/次序,40,294,152,415.67490154
图文电视,图文/电视,24,33,137,2465.25282017
文法推断,文法/推断,79,299,179,685.468657163
换位矩阵,换位/矩阵,10,10,1895,245.061741425
词性标注,词性/标注,19,85,131,792.406645712
Petri网,Petri/网,289,300,1892,236.450472163
楼栋,楼/栋,10,21,14,15795.6462585
细粒度,细/粒度,15,51,210,650.408963585
机器Mi,机器/Mi,24,580,90,213.513563218
RNN预测,RNN/预测,19,55,757,211.923814099
生存周期,生存/周期,11,29,786,224.107747653
Shenyang110006,Shenyang/110006,13,17,67,5300.3476734
磁盘cache,磁盘/cache,11,254,54,372.434529017
流动站,流动/站,11,53,202,477.144778629
急剧增长,急剧/增长,10,31,127,1179.55803912
注意事项,注意/事项,10,390,12,992.290598291
盘符,盘/符,12,148,157,239.830607678
低电平,低/电平,31,668,63,342.081361087
6月生,6月/生,21,51,859,222.607957269
联合意图,联合/意图,24,151,334,220.989967086
1999年9月,1999年/9月,18,134,51,1223.1571554
不可缺少,不可/缺少,11,160,62,514.950806452
谱密度,谱/密度,17,91,204,425.267399267
曾获,曾/获,13,103,250,234.450330097
时代转移,时代/转移,19,81,221,492.902519412
上海200092,上海/200092,10,442,17,618.035666755
平滑过渡,平滑/过渡,14,97,121,553.930987476
实施谓词,实施/谓词,44,291,263,266.986110567
人工干预,人工/干预,25,187,40,1552.11229947
复旦大学,复旦/大学,65,66,1861,245.758064253
浙江大学CAD,浙江大学/CAD,26,168,188,382.288247214
10月生,10月/生,17,40,249,792.636947791
回放,回/放,27,243,233,221.455412494
继承异常现象,继承/异常现象,26,450,28,958.269206349
固态浸没物镜,固态浸没/物镜,20,20,29,16013.5172414
学硕士学位,学/硕士学位,10,273,41,414.895023676
上下文无关文法,上下文无关/文法,25,30,220,1759.06060606
APPLICATIONRESEARCHOFCOMPUTERS2000Vol.17No.2,APPLICATIONRESEARCHOFCOMPUTERS2000/Vol.17No.2,20,40,20,11609.8
APPLICATIONRESEARCHOFCOMPUTERS2000Vol.17No.5,APPLICATIONRESEARCHOFCOMPUTERS2000/Vol.17No.5,20,40,20,11609.8
森林剖分,森林/剖分,15,32,36,6046.77083333
训练语料规模,训练语料/规模,17,84,322,291.876072168
样条,样/条,33,60,998,255.92745491
是非奇异,是非/奇异,13,85,309,229.853264801
区域巡逻监察,区域/巡逻监察,10,1433,10,324.069783671
二叉树,二/叉树,35,1184,59,232.674644984
稳态生产率,稳态/生产率,14,355,43,425.908155912
黑色像素,黑色像/素,16,17,144,3035.24183007
敏捷供需链,敏捷/供需链,56,117,84,2646.10826211
8月生,8月/生,10,33,249,565.160034076
三音子,三音/子,87,90,2105,213.259984165
长名词短语,长/名词短语,11,571,26,344.086757376
中国工程院院士,中国/工程院院士,12,396,13,1082.4988345
分词标引,分词标/引,10,13,94,3800.26186579
并发差错检测,并发/差错检测,37,304,49,1153.49785177
MUDAS播音监控,MUDAS/播音监控,29,31,36,12067.5340502
步进电动机,步/进电动机,11,919,11,505.323177367
微进,微/进,34,184,236,363.608327192
非空子集,非/空子集,14,1202,15,360.592789795
通用三角形网格,通用/三角形网格,17,355,57,390.148949839
悬例,悬/例,14,21,1016,304.719160105
学院长沙410073,学院/长沙410073,15,317,44,499.417837683
包络网格,包络/网格,20,58,413,387.736494949
雅可比矩阵,雅可比/矩阵,10,12,1885,205.301503095
受限柔性机器人,受限柔性/机器人,11,12,532,800.174185464
Smith预估器,Smith预估/器,46,68,1244,252.530168337
陷入局部极,陷入局部/极,11,17,466,644.826054027
笔段串,笔段/串,20,73,430,295.885313794
证券投资决策,证券投资/决策,16,38,627,311.855619911
信噪比,信/噪比,32,281,38,1391.6973216
准可行方向,准可行/方向,17,17,1209,384.112489661
学术会议论文集,学术/会议论文集,17,94,31,2709.21894303
非终极符,非/终极符,12,1202,22,210.736045984
持卡人,持卡/人,133,135,1249,366.302737004
SCSI适配卡,SCSI适/配卡,12,12,34,13658.5882353
多边形拟合,多边形拟/合,12,12,172,2699.95348837
国防科学技术大学,国防科学技术/大学,28,28,1398,332.183118741
阅读眼动,阅读眼/动,17,17,184,2523.86956522
90年代初,90年代/初,12,46,80,1514.32173913
过热,过/热,15,494,58,243.120201033
石教英,石/教英,20,27,22,15636.0942761
人民邮电出版社,人民/邮电出版社,17,40,17,11609.8
系北京100083,系/北京100083,14,1075,22,274.90435518
中国科学院沈阳自动化,中国科学院沈阳/自动化,11,11,900,515.991111111
加纯滞后,加/纯滞后,11,311,66,248.870310825
回滚段,回滚/段,28,38,990,345.639978735
放入,放/入,69,233,623,220.744480191
Timer控件,Timer/控件,23,37,291,992.01411721
基金会现场总线,基金会/现场总线,22,30,38,8961.95087719
高斯白噪声,高斯/白噪声,10,67,33,2100.37087291
研究所杭州310027,研究所/杭州310027,28,370,62,566.825457716
源图案点阵,源/图案点阵,10,838,23,240.94220193
学院武汉430074,学院/武汉430074,16,317,48,488.319663512
国家杰出青年,国家杰出/青年,10,10,37,12551.1351351
获硕士学位,获硕士/学位,26,28,42,10267.170068
构图知识表达,构图知识/表达,10,35,458,289.701809108
公用密钥,公用密/钥,23,23,88,5277.18181818
超包络,超/包络,33,562,58,470.14774819
不可微,不可/微,15,125,184,302.864347826
宽带IP路由器,宽带IP/路由器,17,19,594,699.509480773
ITSAPPLICATIONS2000No.19No.1,ITSAPPLICATIONS2000No.19/No.1,11,11,26,17861.2307692
奇偶向量,奇/偶向量,57,64,57,7256.125
三史制,三/史制,16,871,25,341.229483352
话者辨认,话/者辨认,15,110,15,4221.74545455
攻读博士学位,攻读/博士学位,18,21,126,3159.1292517
紧豫解,紧豫/解,10,10,1343,345.787043931
模糊ART神经,模糊/ART神经,50,1656,53,264.556558199
同理,同/理,69,1083,105,281.783827991
工程图纸扫描,工程/图纸扫描,11,1266,13,310.384736906
同构,同/构,51,1083,103,212.319178119
服装裁剪片,服装/裁剪片,42,74,99,2662.36199836
砼内缺,砼内/缺,45,45,57,8147.22807018
引导扇区,引导扇/区,17,17,391,1187.70332481
规约继承,规约/继承,26,127,450,211.271951006
东北大学自控系,东北大学/自控系,13,117,21,2457.1005291
付费网关,付费/网关,58,113,251,949.643408666
溯因诊断,溯因/诊断,10,23,339,595.603437219
攻关项目基金资助,攻关项目/基金资助,11,34,295,509.30329013
篇文章,篇/文章,12,81,307,224.10037399
80年代中期,80年代/中期,13,63,25,3833.0768254
带通滤波,带/通滤波,17,410,56,343.844250871
鲁棒对角优势,鲁棒/对角优势,17,943,23,363.993913966
正向延展,正/向延展,18,1134,19,387.963241437
中国自动化学会,中国/自动化学会,56,396,71,924.952055769
异质,异/质,12,103,31,1745.2878171
加锁,加/锁,18,311,109,246.587096965
前趋,前/趋,21,997,33,296.411416066
限幅,限/幅,14,57,313,364.412757132
稳态Kalman滤波器,稳态/Kalman滤波器,12,355,16,981.109859155
9月生,9月/生,18,33,249,1017.28806134
3月生,3月/生,14,40,249,652.759839357
微流水,微/流水,19,184,99,484.379007466
长时段预报,长/时段预报,13,571,13,813.295971979
证书授权当局,证书/授权当局,20,284,21,1557.31723675
博士导师,博士/导师,10,289,18,892.718185313
大庆石油学院,大庆/石油学院,14,16,22,18470.1363636
密文,密/文,29,54,981,254.225997659
完美零知识,完美零/知识,12,13,873,491.030399154
白长,白/长,28,65,571,350.342880237
加香比,加香/比,13,35,696,247.828243021
直线斜率,直线/斜率,12,357,48,325.204481793
工控,工/控,81,188,600,333.472978723
优分块尺寸,优/分块尺寸,12,989,24,234.778564206
锁存,锁/存,17,109,106,683.284057469
中国科学技术大学,中国科学技术/大学,44,47,1398,310.979940949
穷公理化,穷公理/化,19,19,2318,200.341673857
博士学位论文,博士/学位论文,28,289,42,1071.26182238
代数Riccati方程,代数Riccati/方程,14,22,796,371.259022385
偏移矢量分布,偏移矢量/分布,14,24,1330,203.680701754
倒谱系数,倒谱系/数,12,12,1864,249.137339056
滑动模态,滑动模/态,21,31,673,467.441499305
远程接入,远程/接入,19,472,80,233.671822034
西北工业大学,西北工业/大学,53,53,1398,332.183118741
城市高速公路交通,城市高速公路/交通,10,14,244,1359.46135831
幺模变换,幺模/变换,33,58,916,288.453094413
多重极,多重/极,13,58,466,223.364510878
证书颁发机构,证书/颁发机构,12,284,12,1635.18309859
国家攀登计划,国家攀登/计划,15,15,363,1279.31680441
通信协定延迟,通信/协定延迟,16,2288,16,202.968531469
专业博士学位,专业/博士学位,12,168,126,263.260770975
似然估计,似然/估计,11,30,800,212.846333333
原稿收到日期,原稿收到/日期,40,40,1032,449.992248062
学报JOURNALOFSOFTWARE2000Vol.11No.4,学报JOURNALOFSOFTWARE2000/Vol.11No.4,10,43,10,10799.8139535
学报JOURNALOFSOFTWARE2000Vol.11No.2,学报JOURNALOFSOFTWARE2000/Vol.11No.2,16,43,16,10799.8139535
WEIXINGJIYUYINGYONG2000Vol.19No.5,WEIXINGJIYUYINGYONG2000Vol.19/No.5,12,12,13,35722.4615385
继电反馈,继电/反馈,22,33,918,337.249092229
高速公路交通流,高速公路交通/流,18,27,988,313.354925776
公开密钥,公开密/钥,25,25,88,5277.18181818
USB总线,USB/总线,19,104,365,232.440674394
2-邻结,2-邻/结,20,20,1471,315.698164514
国防科技大学,国防科技/大学,25,33,1398,251.653877834
弹簧质点变形,弹簧质点/变形,12,37,178,846.143941695
对称正定,对称/正定,19,219,171,235.612379503
ActiveX控件,ActiveX控/件,66,66,432,1074.98148148
入射光,入/射光,20,623,20,745.412520064
阶跃谱,阶跃/谱,27,62,62,3261.85848075
ITSAPPLICATIONS2000Vol.19No.6,ITSAPPLICATIONS2000Vol.19/No.6,12,21,21,12636.5170068
导引,导/引,12,82,94,722.976647639
Steiner树,Steiner/树,24,51,1057,206.752518226
编码增益GSBC,编码/增益GSBC,10,757,10,613.463672391
矢量量化,矢量/量化,44,382,233,229.571579444
抽壳运算,抽壳/运算,16,36,619,333.435289894
汽车维护咨询,汽车/维护咨询,12,76,13,5640.38866397
烟丝加香,烟丝/加香,14,26,35,7144.49230769
套接字,套接/字,100,106,621,705.484155197
包装部件,包装/部件,14,70,382,243.137172775
北方交通大学,北方交通/大学,11,11,1398,332.183118741
插槽,插/槽,13,212,101,281.949187372
校园IC卡,校园/IC卡,22,64,139,1148.45143885
CAI课件,CAI课/件,12,12,432,1074.98148148
抗噪音能力,抗噪音/能力,11,13,1088,361.16459276
非可行染色体,非/可行染色体,13,1202,13,386.349417637
页码顺序编排,页码/顺序编排,13,17,13,27317.1764706
打印口,打印/口,17,180,121,362.473094582
邻域,邻/域,167,242,1521,210.696160095
飞耦合器,飞耦合/器,13,13,1244,373.305466238
黑长,黑/长,14,51,571,223.257717798
待布物,待布/物,29,37,83,4385.33637252
同轴电缆,同/轴电缆,24,1083,24,428.801477378
中心沈阳110006,中心/沈阳110006,11,748,27,252.936819172
80年代初,80年代/初,14,63,80,1289.97777778
按字母键,按/字母键,11,1115,14,327.246124279
反合一.,反/合一.,15,312,15,1488.43589744
H∞干扰抑制,H∞/干扰抑制,12,341,50,326.844809384
空气预热器,空气/预热器,14,35,14,13268.3428571
汕头大学,汕头/大学,10,15,1398,221.455412494
油藏数值模拟,油藏数值/模拟,12,12,722,643.202216066
NanjingUniversityNanjing210093,NanjingUniversityNanjing/210093,11,13,16,24559.1923077
拉列表框,拉列表/框,20,24,102,3794.05228758
生物医学工程,生物医学/工程,10,17,1266,215.77548555
复合三角Bzier曲面,复合三角/Bzier曲面,19,20,42,10504.1047619
扇入,扇/入,30,90,623,248.470840021
收稿日期,收稿/日期,637,687,1032,417.241720547
发展JOURNALOFCOMPUTERRESEARCHANDDEVELOPMENT1999Vol.36,发展/JOURNALOFCOMPUTERRESEARCHANDDEVELOPMENT1999Vol.36,18,1108,18,419.126353791
低功耗,低/功耗,30,634,53,414.611035057
学术交流会,学术交流/会,11,15,1642,207.402030045
故障测距,故障/测距,12,1341,20,207.781655481
力矩扰动,力矩/扰动,16,97,357,214.567905513
学报JOURNALOFSOFTWARE2000Vol.11No.3,学报JOURNALOFSOFTWARE2000/Vol.11No.3,17,43,17,10799.8139535
八叉树,八/叉树,17,106,59,1262.33834346
深度优先搜索,深度优先/搜索,10,24,708,273.300376648
音视频,音/视频,10,36,580,222.409961686
收到修改稿lanlandelaoxu,收到修改稿/lanlandelaoxu,86,100,1023,390.397966764
简介见本刊,简介/见本刊,20,92,31,3256.6058906
城市交通,城市/交通,15,82,244,348.154738105
欧几,欧/几,14,27,920,261.734621578
条件分支语句,条件/分支语句,59,2305,59,201.471583514
入匝,入/匝,19,623,27,524.549551156
群体数字签名,群体/数字签名,14,246,119,222.090865615
右互质,右/互质,16,249,65,459.083843065
系合肥230027,系/合肥230027,10,1075,13,332.3019678
柱面全景,柱面/全景,15,29,131,1833.60884443
精馏塔,精馏/塔,12,13,28,15309.6263736
传递闭包,传递/闭包,13,664,24,378.833835341
日月光华站,日月光华/站,13,13,163,2849.03067485
信源整形,信/源整形,10,281,10,1652.6405694
配卡驱动,配卡/驱动,12,34,598,274.085382648
无穷远极点,无穷远/极点,18,38,148,1486.31863442
私有密钥,私有密/钥,14,14,88,5277.18181818
代入,代/入,202,332,623,453.534123654
递推算法,递推算/法,17,19,1441,288.347419555
自动分词标,自动/分词标,10,1162,13,307.422216338
断点续传,断点续/传,13,13,204,2276.43137255
可变多面体法,可变多面体/法,12,12,1441,322.270645385
摄影测量学,摄影测量/学,12,12,273,1701.06959707
待识汉字,待识/汉字,22,34,299,1004.97973638
求导,求/导,32,690,82,262.646588901
飞控,飞/控,10,35,600,221.139047619
专业硕士学位,专业/硕士学位,10,168,41,674.204413473
修稿日期,修稿/日期,81,94,1032,387.759277585
微增率,微增/率,23,23,537,864.789571695
均场退火,均/场退火,31,987,31,470.508611955
电子帐簿,电子/帐簿,12,606,19,483.993746743
变焦遗传,变/焦遗传,20,1032,20,449.992248062
西南交通大学,西南交通/大学,10,10,1398,332.183118741
ABR可用带宽,ABR可用/带宽,10,11,438,963.868825239
发送出去,发/送出去,24,402,25,1108.9958209
商务活动,商务/活动,10,28,508,326.484814398
频繁2-项目,频繁2-/项目,11,11,1079,430.391102873
免疫进化规划,免疫进化/规划,10,11,679,621.759271656
offset面,offset/面,10,21,780,283.511599512
第5节,第5/节,12,38,653,224.579027968
机顶盒,机/顶盒,87,1157,92,379.562060802
MSFlexGrid控件,MSFlexGrid控/件,18,18,432,1074.98148148
90年代以来,90年代/以来,12,46,82,1477.38706257
滤波窗,滤波/窗,11,257,49,405.646946716
确定性退火,确定性/退火,23,459,65,358.002882521
MICROCOMPUTERAPPLICATIONS2000Vol.16No.1,MICROCOMPUTERAPPLICATIONS2000Vol.16/No.1,13,13,26,17861.2307692
消费电子,消费/电子,10,36,606,212.867620095
正定阵,正定/阵,28,171,303,250.959720533
哈尔滨工业大学,哈尔滨工业/大学,86,87,1398,328.364921974
SPI总线,SPI/总线,10,36,365,353.418569254
关节加速度反馈,关节加速度/反馈,12,24,918,252.936819172
多重普化,多重普/化,11,11,2318,200.341673857
送往,送/往,14,223,48,607.388639761
CD补乐机,CD补/乐机,10,10,10,46439.2
师范大学数学,师范大学/数学,10,43,439,246.009429464
简单起见,简单/起见,29,1259,49,218.303609927
任一时刻,任一时/刻,15,16,32,13605.234375
作者单位,作者/单位,667,1101,1184,237.61373567
支付网关,支付/网关,10,50,251,370.033466135
中国博士后科学,中国博士后/科学,16,21,854,414.31203301
淡入淡出,淡入/淡出,10,16,15,19349.6666667
分布式Ada语言,分布式Ada/语言,21,27,1689,213.850667719
无线接入设备,无线接入/设备,22,24,1315,323.720659062
科技攻关项目,科技/攻关项目,17,310,34,749.019354839
急剧增加,急剧/增加,11,21,1008,241.322373394
锁具耐用度测试仪,锁具耐/用度测试仪,14,14,14,33170.8571429
失效率,失/效率,12,39,694,205.893150078
系南京210094,系/南京210094,11,1075,16,296.994883721
虚拟仪器,虚拟/仪器,31,805,81,220.782946093
虚拟实景空间,虚拟实景/空间,38,38,2136,217.411985019
INFORMATIONANDCONTROL1999年第28,INFORMATIONANDCONTROL1999/年第28,23,23,50,9287.84
低通滤波器,低/通滤波器,12,634,22,399.534270146
千兆位,千兆/位,30,38,775,473.064855688
浮动飞行头,浮动飞行/头,11,11,216,2149.96296296
法矢,法/矢,13,1441,20,209.4759195
报表数据字典,报表/数据字典,14,208,16,1953.57211538
节点缩减算子,节点/缩减算子,16,1566,19,249.723465753
列满秩,列/满秩,10,368,45,280.429951691
协方差,协方/差,32,36,620,665.794982079
盘片,盘/片,18,113,350,211.354134008
击付费业务,击付费/业务,10,11,422,1000.41361482
获博士学位,获/博士学位,32,182,126,648.026513169
自伴算子,自/伴算子,10,1589,10,292.254247955
回卷,回/卷,34,216,174,420.107705407
科学技术出版社,科学技术/出版社,14,71,351,260.883913166
武汉大学,武汉/大学,34,96,768,214.156467014
办公自动化,办公/自动化,13,46,627,209.31613619
体素,体/素,33,586,128,204.31068686
群件,群/件,22,140,336,217.190136054
奇异摄动降阶,奇异/摄动降阶,11,276,11,1682.57971014
工程COMPUTERENGINEERING1999年第25卷第12期,工程COMPUTERENGINEERING1999年第25/卷第12期,14,57,22,5184.59968102
南京航空航天大学,南京航空航天/大学,11,11,768,604.677083333
弱互模拟,弱互/模拟,14,14,710,654.073239437
工程系上海200030,工程/系上海200030,27,1245,45,223.803373494
浙江大学工业,浙江大学/工业,44,142,488,294.869083353
企业内部质量审核,企业/内部质量审核,10,651,10,713.351766513
测功器,测/功器,10,440,10,1055.43636364
标称,标/称,71,166,768,258.626945281
学报JOURNALOFSOFTWARE1999年第4期第10卷,学报JOURNALOFSOFTWARE1999年/第4期第10卷,11,31,11,14980.3870968
正识率,正/识率,10,900,20,257.995555556
南京理工大学,南京理工/大学,32,32,768,604.677083333
发表学术论文,发表学术/论文,10,10,187,2483.37967914
超调,超/调,44,427,189,253.190686839
模态截取,模态/截取,27,142,60,1471.66478873
标记态射,标记/态射,18,656,38,335.327984596
无纹波,无/纹波,20,1063,22,397.153852732
自动化学报ACTAAUTOMATICASINICA2000Vol.26No.1,自动化学报ACTAAUTOMATICASINICA2000/Vol.26No.1,24,24,24,19349.6666667
消息文摘是否一致,消息文摘是否/一致,13,13,558,832.243727599
序贯路径无关,序贯路径/无关,10,10,252,1842.82539683
弯曲体纹理,弯曲体/纹理,21,25,217,1797.64645161
稳定裕度,稳定/裕度,14,1003,32,202.563808574
心定弯曲纹元,心定/弯曲纹元,15,15,77,6031.06493506
双互质分解,双互质/分解,13,13,751,618.364846871
频繁1-项目序列,频繁1-项目/序列,13,20,759,397.700658762
电子工业出版社,电子/工业出版社,64,584,116,438.726499764
步进电机,步/进电机,14,908,14,511.444933921
开关盒布线,开关盒布/线,14,14,2169,214.104195482
多重循环,多重/循环,13,45,554,242.161893301
分层递阶,分层/递阶,19,142,96,647.259976526
代群体,代/群体,18,130,232,277.157029178
摄象机,摄象/机,21,23,1070,396.271109305
半共享跳跃式流水寄存器堆,半共享跳跃式/流水寄存器堆,10,10,12,38699.3333333
国家重点实验室北京100080,国家重点实验室/北京100080,12,125,60,743.0272
待发表,待/发表,13,202,146,204.702834667
湖南大学,湖南/大学,10,24,768,251.948784722
机械工业出版社,机械/工业出版社,44,198,116,889.639846743
研究所南京210093,研究所/南京210093,14,300,91,238.14974359
开放实验室,开放/实验室,25,277,102,410.908189991
南京大学,南京/大学,108,172,768,379.680959302
华中理工大学,华中/理工大学,58,60,112,4008.1452381
虚拟轴机床,虚拟/轴机床,18,774,18,599.989664083
国防工业出版社,国防工业/出版社,31,31,351,1323.05413105
压入,压/入,14,75,283,306.312744405
光源面片,光源/面片,16,60,123,1006.81192412
延迟离散Hopfield型,延迟离散Hopfield/型,20,26,930,384.112489661
阶延迟离散Hopfield,阶/延迟离散Hopfield,11,735,26,267.310936682
中间件,中间/件,46,303,336,209.826654094
三维服装,三维/服装,11,523,32,305.228967495
发展JOURNALOFCOMPUTERRESEARCHANDDEVELOPMENT1999年第36卷第9期Vol.36No.91999,发展JOURNALOFCOMPUTERRESEARCHANDDEVELOPMENT1999年第36/卷第9期Vol.36No.91999,10,19,10,24441.6842105
摄像机定标,摄像机/定标,32,244,90,676.709653916
收修改稿日期,收修改稿/日期,43,43,274,1694.86131387
傅里叶变换,傅里叶/变换,14,27,883,272.701983977
签名公钥证书,签名/公钥证书,15,180,49,789.782312925
嵌套谓词等式系,嵌套/谓词等式系,11,225,19,1194.92678363
签名私钥加密,签名私钥/加密,10,18,414,623.177670424
国家自然科学基金资助课题,国家自然科学基金资助/课题,11,98,213,244.721280061
弹性模板匹配法,弹性模板匹配/法,31,35,1399,294.009026856
柔性机械臂动力学,柔性/机械臂动力学,10,75,10,6191.89333333
国家自然科学基金资助项目,国家自然科学基金资助/项目,48,98,1035,219.765513162
学报JOURNALOFSOFTWARE1999年第10卷第7期No.7Vol.101999,学报JOURNALOFSOFTWARE1999年第10/卷第7期No.7Vol.101999,10,48,10,9674.83333333
自动化学报ACTAAUTOMATICASINICA2000Vol.26No.3,自动化学报ACTAAUTOMATICASINICA2000Vol.26/No.3,25,26,28,15947.5274725
近场记录,近场/记录,45,52,1015,395.938613111
观测器,观测/器,139,272,1175,201.972740926
反标架规范化,反/标架规范化,11,297,11,1563.60942761
Steiner顶点,Steiner/顶点,10,27,571,301.220730363
变量Popov判据,变量/Popov判据,16,1524,20,243.775328084
联机手写体汉字识别,联机手写体汉字/识别,17,19,1632,254.600877193
联想容错能力,联想容错/能力,12,15,1077,344.952274838
平衡态,平衡/态,68,310,470,216.737515443
工程系哈尔滨150001,工程/系哈尔滨150001,23,1245,35,245.117980493
收到修改稿日期,收到修改稿/日期,11,14,274,1331.67674661
加速度开环频率,加速度开环/频率,10,14,438,757.325505545
阶跃响应,阶跃/响应,12,35,691,230.419847013
学报JOURNALOFSOFTWARE1999年第10卷第5期Vol.10No.51999,学报JOURNALOFSOFTWARE1999年第10/卷第5期Vol.10No.51999,10,48,10,9674.83333333
修改稿收到日期,修改稿收到/日期,40,40,274,1694.86131387
天津大学,天津/大学,17,44,768,233.625236742
剩余部件,剩余/部件,10,61,368,206.874554526
连续化工生产,连续/化工生产,15,622,26,430.737076428
编辑框,编辑/框,10,275,82,205.938802661
单钥,单/钥,14,634,26,394.412035914
键入,键/入,28,168,283,273.49352179
整幅,整/幅,19,143,299,206.362654068
卷积,卷/积,22,174,131,448.215495306
华南理工大学,华南理工/大学,24,24,768,604.677083333
开环频率响应,开环频率/响应,10,11,691,610.961715564
商家签名,商家/签名,11,138,180,205.64863124
超媒体浏览,超媒体/浏览,11,102,191,262.206754953
联机手写汉字,联机手写/汉字,11,14,252,1447.93424036
TP13文献标识码,TP13文献标识/码,11,11,475,977.667368421
中心北京100080,中心/北京100080,23,737,60,241.542650384
相角裕度,相角裕/度,11,11,1019,455.733071639
柔性继承,柔性/继承,14,75,398,217.805293132
补零法,补零/法,14,14,1399,331.945675482
图形学,图形/学,88,847,224,215.395176252
系长沙410073,系/长沙410073,15,855,29,280.938898972
国家重点实验室南京210093,国家重点实验室/南京210093,49,125,91,2000.45784615
研究所上海200030,研究所/上海200030,12,300,38,488.833684211
工程ComputerEngineering1999年第25卷第9期Vol.25No.91999,工程ComputerEngineering1999年第25/卷第9期Vol.25No.91999,10,18,10,25799.5555556
行满秩,行/满秩,13,710,35,242.941488934
森林类别型构,森林类别型/构,13,13,52,8930.61538462
渐近稳定性,渐近/稳定性,45,163,591,216.931269658
修稿lanlandelaoxu,修稿/lanlandelaoxu,13,13,937,495.615795091
学报JOURNALOFSOFTWARE1999年第2期No.21999,学报JOURNALOFSOFTWARE1999年/第2期No.21999,10,31,10,14980.3870968
系杭州310027,系/杭州310027,14,855,34,223.649398005
AGP主内存,AGP主/内存,11,11,389,1193.80976864
次直不可约,次/直不可约,17,1892,17,245.450317125
初态,初/态,21,54,470,384.248699764
