复旦经济,句子数量,815851,方法,mi,support,10,阈值,200
复合词,复合词,复合词数量,词1数量,词2数量,方法算出值
粤海关,粤/海关,15,145,188,448.927549523
财贸学院,财贸/学院,17,77,497,362.420418616
联合国开发计划署,联合国/开发计划署,15,247,15,3303.04048583
蒲谢,蒲/谢,13,104,108,944.271990741
恩格尔系数,恩格尔/系数,39,41,550,1411.00616408
调适,调/适,17,215,103,626.302415895
不满情绪,不满/情绪,15,64,104,1838.60652043
12月31日,12月/31日,12,309,35,905.243828017
蚕丝业,蚕丝/业,20,38,1615,265.879419912
实务,实/务,66,326,122,1353.87121593
幕肪,幕/肪,17,293,161,294.012825133
奈⒐,奈/⒐,12,167,161,364.124372373
颐怯,颐/怯,11,176,102,499.90870098
第23卷,第23/卷,31,48,1081,487.422544712
笠档,笠/档,127,945,420,261.055875535
自我防御,自我/防御,16,546,44,543.357309357
部长级会议,部长级/会议,13,17,670,931.173222125
曾一度,曾/一度,32,833,149,210.343724067
许涤,许/涤,16,70,117,1593.84810745
系讲师,系/讲师,13,560,60,315.656636905
师范学院学报,师范学院/学报,16,28,338,1379.29163145
工业品出厂,工业品/出厂,12,218,32,1403.41341743
这样一来,这样/一来,21,2779,27,228.337811363
通商口岸,通商/口岸,22,63,180,1582.77971781
保值增值,保值/增值,75,169,377,960.382104123
组群,组/群,31,313,229,352.852114346
晕侍,晕/侍,12,77,282,450.870958828
骄赫,骄/赫,12,56,226,773.56289507
转引自,转引/自,77,81,1504,515.666264447
政治家们,政治家/们,17,90,552,279.176066828
加入世贸组织,加入/世贸组织,68,860,165,390.964538407
２１世纪,２１/世纪,25,26,3220,243.624880554
讨校,讨/校,33,76,205,1728.05410783
留存收益,留存/收益,15,20,1700,359.934264706
普惠制,普惠/制,38,38,1241,657.414182111
坚决制止,坚决/制止,10,154,81,654.041205708
未来学家,未来学/家,15,20,2396,255.379069282
地域狭小,地域/狭小,10,307,86,309.011059768
柯布,柯/布,13,17,81,7702.29702251
研讨会论文集,研讨会/论文集,10,142,60,957.571596244
司法机关,司法/机关,27,201,385,284.654351619
校对者,校对/者,56,57,2314,346.386268177
移动电话,移动/电话,23,198,189,501.431591043
环形曲线,环形/曲线,13,13,693,1177.27417027
地域辽阔,地域/辽阔,15,307,47,848.136738513
恋兀,恋/兀,11,93,116,831.883667037
颐遣,颐/遣,12,176,91,611.276973027
休克疗法,休克/疗法,131,152,134,5247.27420463
江泽民主席,江泽民/主席,17,269,111,464.498710607
暴露出来,暴露/出来,35,153,889,209.935412485
牛耳,牛/耳,11,171,22,2385.52923977
中华人民共和国成立,中华人民共和国/成立,32,130,829,242.249531409
挡棵,挡/棵,20,110,137,1082.74850697
乐观情绪,乐观/情绪,12,169,104,557.021620391
富有成效,富有/成效,13,160,243,272.789686214
回旋余地,回旋/余地,23,32,168,3490.43396577
挤出效应,挤出/效应,38,73,1677,253.243626502
勘辍,勘/辍,17,111,23,5432.61535448
件大事,件/大事,17,296,54,867.709396897
飨缘,飨/缘,12,83,202,583.932482405
全民所有制,全民/所有制,129,223,1916,246.320293118
烧造,烧/造,13,55,87,2216.523093
通缩,通/缩,25,173,48,2456.19881985
岛透,岛/透,12,156,85,738.326696833
有所为有所不为,有所为/有所不为,11,50,47,3818.87702128
长江流域,长江/流域,95,272,173,1647.09803213
单独关税区,单独/关税区,10,109,16,4678.04472477
存贷款利率,存贷款/利率,27,41,1639,327.802154794
泡沫破灭,泡沫/破灭,17,451,74,415.577006053
第64页,第64/页,10,11,3492,212.394824534
芯康,芯/康,17,235,233,253.300465711
学术刊物,学术/刊物,10,439,35,530.980149691
芯俊,芯/俊,12,235,60,694.341276596
节节,节/节,19,170,170,536.372629758
诵∑,诵/∑,20,127,71,1809.58411889
重重困难,重重/困难,13,37,1154,248.39718488
来临之际,来临/之际,11,130,83,831.729471733
即将来临,即将/来临,29,200,130,909.987653846
贯彻落实,贯彻/落实,40,324,334,301.563909219
芯恐,芯/恐,10,235,55,631.21934236
勘甑,勘/甑,12,111,23,3834.78730905
湖南师范大学,湖南/师范大学,11,95,121,780.718660287
50周年,50/周年,10,447,50,365.034004474
桌砉,桌/砉,10,16,29,17582.9956897
豫西南区,豫西/南区,10,22,18,20602.2979798
日元升值,日元/升值,20,371,122,360.501524458
花掉,花/掉,13,190,216,258.432334308
涣颊,涣/颊,17,67,24,8625.29042289
白领工人,白领/工人,12,23,811,524.859915295
长江经济带,长江/经济带,16,272,67,716.287093942
黑色金属冶炼,黑色金属/冶炼,14,20,57,10019.222807
凯恩斯主义,凯恩斯/主义,202,623,790,334.847516102
十三大报告,十三大/报告,11,11,1333,612.041260315
股票期权,股票/期权,23,960,87,224.67161159
一味追求,一味/追求,16,49,933,285.530896603
大道性质,大道/性质,14,33,1301,266.040435097
家具制造业,家具/制造业,20,36,1266,358.017816395
动全身,动/全身,10,167,10,4885.33532934
税收征管,税收/征管,45,1517,86,281.40987414
南北方,南/北方,23,474,192,206.185972662
官窑,官/窑,29,232,94,1084.90824468
研究院课题组,研究院/课题组,13,148,150,477.750585586
专利申请,专利/申请,13,168,164,384.947118177
沿边,沿/边,48,153,138,1854.73373117
师范大学学报,师范大学/学报,27,121,338,538.607682527
研究所所长,研究所/所长,33,502,55,975.120717131
咛宓,咛/宓,21,66,154,1685.64256198
播种面积,播种/面积,11,16,480,1168.53658854
饥渴症,饥渴/症,20,34,54,8887.26579521
昂立,昂/立,16,41,160,1989.8804878
皮革制品,皮革/制品,10,56,286,509.397477522
设厂,设/厂,47,233,629,261.638795827
目右,目/右,13,156,223,304.877055306
耕地面积,耕地/面积,46,211,480,370.548439968
权益保护法,权益/保护法,10,366,21,1061.4767109
主攻方向,主攻/方向,11,15,1270,471.095065617
好转迹象,好转/迹象,11,191,159,295.510586453
结汇,结/汇,18,62,121,1957.52039456
外出打工,外出/打工,13,34,18,17330.1683007
警限,警/限,17,71,127,1538.14650105
远远不够,远远/不够,33,376,262,273.297496752
沿江,沿/江,47,153,184,1362.07008383
对冲基金,对冲/基金,46,66,1206,471.495376652
远景规划,远景/规划,10,48,694,244.912043708
学院副教授,学院/副教授,20,497,107,306.832020158
通用电气,通用/电气,18,161,82,1112.35555219
空前活跃,空前/活跃,11,163,242,227.510039041
不可缺少,不可/缺少,64,690,276,274.178029826
复旦大学,复旦/大学,39,41,1403,553.138553274
湖北武汉,湖北/武汉,15,109,228,492.425760502
刑跫,刑/跫,10,65,174,721.353669319
逻辑起点,逻辑/起点,39,461,282,244.751534592
牛羊,牛/羊,12,171,45,1272.28226121
大城市经济带,大城市/经济带,13,20,67,7914.97238806
共荣,共/荣,13,449,49,482.07186037
有利时机,有利/时机,33,626,182,236.308350595
合法权益,合法/权益,70,273,366,571.564382794
转轨变型,转轨/变型,25,1076,35,541.589883165
薄弱环节,薄弱/环节,45,263,612,228.095224782
彩色电视机,彩色/电视机,16,25,61,8559.74819672
销往,销/往,30,192,217,587.45031682
配第,配/第,19,118,113,1162.52954852
诸子,诸/子,11,198,96,472.13599537
徊糠,徊/糠,34,122,106,2144.98407052
古希腊,古/希腊,23,94,54,3696.72438928
环渤海,环/渤海,13,274,15,2580.55060827
偿清,偿/清,12,26,334,1127.385076
驶肪,驶/肪,10,50,161,1013.47950311
深层次,深/层次,215,532,1546,213.269223755
主管机关,主管/机关,22,233,385,200.086082158
帐户,帐/户,162,606,746,292.357616861
丛煨,丛/煨,11,136,16,4124.24678309
帐簿,帐/簿,18,606,70,346.18854314
岷希,岷/希,10,91,136,659.220265029
功半,功/半,12,42,520,448.26978022
一分析,一分/析,22,70,95,2699.05593985
纤维制品,纤维/制品,13,63,286,588.637085137
请您,请/您,10,103,101,784.245890608
经济界人士,经济界/人士,13,48,171,1292.16167154
本世纪末,本世纪/末,62,260,720,270.207061966
照抄照搬,照抄/照搬,13,29,76,4812.18829401
殖民统治,殖民/统治,13,107,250,396.488336449
学术季刊,学术/季刊,11,439,32,638.835492597
紧随,紧/随,10,144,229,247.407508491
通货紧缩,通货/紧缩,923,1012,1322,562.860255601
摹Ｒ,摹/Ｒ,20,301,246,220.363287686
作者简介,作者/简介,1029,2974,1040,271.426296816
贫然,贫/然,11,464,88,219.787446121
负荷过重,负荷/过重,10,32,39,6537.26762821
华夏出版社,华夏/出版社,18,23,1972,323.778948761
通行做法,通行/做法,10,90,387,234.238013207
不可抗拒,不可/抗拒,12,690,21,675.65300207
资产负债表,资产/负债表,56,3409,56,239.322675271
今明,今/明,22,167,224,479.809719846
谐∩,谐/∩,33,832,91,355.598623732
果阿,果/阿,22,64,115,2438.68505435
通盘考虑,通盘/考虑,10,16,1639,311.108526541
贫取,贫/取,36,464,287,220.553256037
产成品,产/成品,30,329,47,1582.84485546
庖恢,庖/恢,11,151,217,273.88412122
贷记,贷/记,14,204,150,373.265163399
零售物价指数,零售/物价指数,22,399,92,488.959409393
４送,４/送,14,131,114,764.826168475
耐蹲,耐/蹲,22,171,248,423.239058668
岱⒄,岱/⒄,14,42,852,319.190532081
固定资产净值,固定资产/净值,45,649,66,857.106387449
耐骋,耐/骋,11,171,157,334.277982642
双优组合,双优/组合,12,13,430,1751.37960644
关税同盟,关税/同盟,27,740,39,763.27016632
陆路交通,陆路/交通,10,48,758,224.233454266
逐季,逐/季,19,54,99,2899.58267864
公务人员,公务/人员,24,34,1956,294.424756406
逐利,逐/利,13,54,723,271.657778802
村社,村/社,22,319,254,221.518055933
微软,微/软,119,199,301,1620.83288536
程控交换机,程控/交换机,10,15,14,38850.047619
低收入阶层,低收入/阶层,62,228,386,574.751863467
革命根据地,革命/根据地,11,1068,22,381.952715356
桓龉,桓/龉,18,213,63,1094.36753856
找不到,找/不到,34,276,69,1456.57078345
大好时机,大好/时机,13,24,182,2428.12797619
师专学报,师专/学报,11,13,338,2042.4126081
南方共同市场,南方/共同市场,36,261,60,1875.51954023
耐恋,耐/恋,10,171,93,513.01704081
诶投,诶/投,11,62,415,348.789778469
选准,选/准,19,275,271,207.999584032
住脚,住/脚,17,364,68,560.337225275
福特汽车,福特/汽车,10,42,779,249.358457118
斜匾,斜/匾,10,52,217,723.015774548
黑龙江省非国有经济,黑龙江省/非国有经济,10,47,723,240.090344604
不难看出,不难/看出,24,32,458,1336.00054585
强烈愿望,强烈/愿望,12,336,144,202.343998016
溢出效应,溢出/效应,12,25,1677,233.517280859
科层,科/层,18,198,223,332.593151243
刹糠,刹/糠,15,48,106,2405.22110849
贫雀,贫/雀,11,464,33,586.099856322
贫鹊,贫/鹊,36,464,143,442.648842537
段话,段/话,38,628,239,206.55556592
生产型增值税,生产型/增值税,18,45,159,2052.45534591
不尽相同,不尽/相同,54,92,525,912.131552795
天然气开采业,天然气/开采业,15,69,19,9334.67963387
灵活应变,灵活/应变,10,354,51,451.894870943
贫认,贫/认,15,464,50,527.48987069
压倒一切,压倒/一切,14,34,856,392.451690489
具吸引力,具/吸引力,13,310,149,229.618164105
乱收费,乱/收费,53,253,297,575.452855299
吉林长春,吉林/长春,16,108,77,1569.6988937
礁龇,礁/龇,10,72,90,1259.02932099
旭日集团,旭日/集团,11,17,1484,355.730180752
渐趋,渐/趋,30,97,307,821.905705363
达成协议,达成/协议,31,203,479,260.100383599
浦东新区,浦东/新区,51,207,109,1844.09879005
敢闯,敢/闯,17,164,60,1409.49867886
跨国界,跨/国界,40,558,152,384.762780607
感兴趣,感/兴趣,45,98,133,2816.73277582
4月1日,4月/1日,16,242,153,352.552692702
航空航天,航空/航天,16,146,75,1192.11105023
证券交易法,证券/交易法,18,1082,19,714.335927619
证券交易所,证券/交易所,39,1082,82,358.619866102
学术氛围,学术/氛围,12,439,82,271.965442525
A·萨缪尔森,A·/萨缪尔森,11,31,193,1499.97676751
农技推广,农技/推广,14,19,360,1669.87046784
割裂开,割裂/开,11,50,503,356.833439364
文件汇编,文件/汇编,11,184,68,717.260310102
融合生长,融合/生长,16,284,84,547.183769282
纵向演进,纵向/演进,11,140,281,228.123055414
结清,结/清,10,62,334,393.978655592
全体公民,全体/公民,11,193,193,240.928910843
锌赡,锌/赡,23,70,188,1425.87940729
商学院学报,商学院/学报,10,58,338,416.165578453
乇鹗,乇/鹗,46,95,73,5411.55674117
误以为,误/以为,10,77,120,882.955627706
挂勾,挂/勾,10,95,47,1827.21388578
机会均等,机会/均等,17,1090,55,231.35057548
党政干部,党政/干部,18,97,421,359.608149472
盲目乐观,盲目/乐观,24,303,169,382.377878024
票券,票/券,52,162,83,3155.15781645
世人瞩目,世人/瞩目,15,52,47,5007.2688216
物价上涨率,物价/上涨率,17,930,44,338.941031281
寄希望,寄/希望,21,57,443,678.502673161
社群,社/群,21,254,229,294.551301448
政局动荡,政局/动荡,12,71,303,455.083530888
地产建筑业,地产/建筑业,34,108,183,1403.50809553
南拗,南/拗,13,474,36,621.546120488
第46卷,第46/卷,24,30,1081,603.775023127
接单,接/单,11,152,213,277.19177786
广西出海口,广西/出海口,14,245,28,1665.00204082
半数以上,半数/以上,20,32,1974,258.311486829
提前退休,提前/退休,23,113,164,1012.54980574
海港考古,海港/考古,10,35,99,2354.54834055
父爱主义,父爱/主义,12,15,790,826.178227848
法人治理,法人/治理,90,383,660,290.476263945
惺导,惺/导,10,123,265,250.299432428
抑商,抑/商,20,114,625,229.010807018
放活,放/活,18,516,132,215.605443975
地理位置,地理/位置,84,314,374,583.564528765
制衣,制/衣,31,1241,59,345.42101094
低度粗放型,低度/粗放型,10,39,232,901.692086649
乱摊派,乱/摊派,19,253,43,1424.87076018
丹宗昭信,丹宗昭/信,10,10,128,6373.8359375
跨越国界,跨越/国界,16,129,152,665.729090167
约旱,约/旱,30,1252,89,219.653318735
葡语,葡/语,14,335,56,608.844029851
系统动力学,系统/动力学,11,2472,17,213.553231487
届二中全会,届/二中全会,10,618,10,1320.14724919
科研院所,科研/院所,37,542,41,1358.40549905
副部长,副/部长,17,324,66,648.590862327
外汇储备,外汇/储备,224,911,400,501.51104281
邓小平同志,邓小平/同志,232,1111,561,303.684002625
梢运,梢/运,16,242,190,283.89769465
梢钥,梢/钥,12,242,38,1064.61635494
水土流失,水土/流失,27,36,271,2257.8902214
论辩,论/辩,34,1696,46,355.554424733
梢栽,梢/栽,10,242,58,581.256055856
不可回避,不可/回避,18,690,106,200.783675144
赖以生存,赖以/生存,27,43,620,826.255701425
硬着陆,硬/着陆,13,237,30,1491.71068917
右移动,右/移动,11,223,198,203.251370204
营业观,营业/观,21,141,420,289.308865248
夺回,夺/回,10,26,283,1108.79450938
输往,输/往,32,69,217,1743.6206505
梢允,梢/允,16,242,100,539.405619835
梢圆,梢/圆,12,242,65,622.391099809
葡拢,葡/拢,13,335,127,249.290468915
政企分开,政企/分开,132,187,241,2389.60507689
长江航运,长江/航运,10,272,86,348.773512312
经受住,经受/住,16,46,364,779.599617774
外向度,外向/度,12,57,650,264.243238866
古籍出版社,古籍/出版社,10,12,1972,344.764621366
电子商务,电子/商务,637,1721,1000,301.973902963
正好相反,正好/相反,15,64,563,339.636017984
陆怠,陆/怠,11,157,205,278.836756253
趋缓,趋/缓,66,307,165,1062.9980456
透析,透/析,10,85,95,1010.34179567
谋戎,谋/戎,12,233,54,778.112541726
复合型人才,复合型/人才,10,17,1638,292.986784457
行政命令,行政/命令,49,1675,109,218.960421744
深藏,深/藏,10,532,45,340.789891395
平江府,平江/府,10,10,69,11823.9275362
Ｄ壳,Ｄ/壳,21,37,106,4368.40158083
无法估量,无法/估量,11,1196,32,234.488947533
卫斫,卫/斫,14,52,37,5936.54573805
良性循环,良性/循环,155,286,603,733.262040613
配股资格,配股/资格,16,49,120,2220.00272109
南开大学,南开/大学,17,37,1403,267.177804319
示赫,示/赫,15,192,226,282.028138827
现金流通量,现金/流通量,10,414,34,579.604290992
瞧笠,瞧/笠,15,37,945,350.000429
工大学,工大/学,12,19,578,891.478054999
适度从紧,适度/从紧,16,458,38,750.035394162
协定生效,协定/生效,10,300,52,522.981410256
上证指数,上证/指数,14,17,753,892.267322865
不变价格计算,不变价格/计算,10,25,1251,260.863629097
硕士研究生,硕士/研究生,23,77,115,2119.09350649
募苹,募/苹,13,167,117,542.815036593
不能按时,不能/按时,11,568,35,451.426609658
最惠国待遇,最惠国/待遇,29,34,388,1793.48688599
欠发达,欠/发达,88,264,1310,207.5956743
审批程序,审批/程序,21,256,309,216.58665807
铰缘,铰/缘,14,78,202,724.924727088
母锖,母/锖,22,577,25,1244.27882149
母镆,母/镆,21,577,30,989.767244367
批发零售,批发/零售,27,169,399,326.674333763
专营权,专营/权,11,48,911,205.231453531
良性互动,良性/互动,22,286,148,424.038981289
剧烈动荡,剧烈/动荡,14,123,303,306.472242346
桑园产,桑园/产,10,55,329,450.870958828
饮料制造业,饮料/制造业,22,62,1266,228.66944402
分配不公,分配/不公,42,2759,57,217.888136434
党风廉政,党风/廉政,10,12,25,27195.0333333
柚贫,柚/贫,10,35,464,502.371305419
北京100872,北京/100872,19,898,27,639.328920234
迪止,迪/止,11,155,195,296.918478081
俜⒄,俜/⒄,15,28,852,512.984783702
市委党校,市委/党校,26,106,94,2128.8765556
牧斓,牧/斓,10,172,100,474.331976744
峒苹,峒/苹,11,57,117,1345.68316089
24小时,24/小时,21,143,96,1248.02381993
过于乐观,过于/乐观,10,199,169,242.588980405
工人阶级主人翁,工人阶级/主人翁,10,114,44,1626.49720893
濒临破产,濒临/破产,12,28,457,765.099406064
降息,降/息,75,859,125,569.861001164
库存积压,库存/积压,29,168,198,711.269811207
本报记者,本报/记者,10,23,228,1555.77993898
棵牛,棵/牛,13,137,171,452.72817689
带有普遍性,带有/普遍性,10,281,75,387.117912218
东欧中亚,东欧/中亚,28,364,150,418.385128205
我觉得,我/觉得,14,1227,44,211.563940135
党建工作,党建/工作,21,25,3199,214.227833698
奖得主,奖/得主,15,158,21,3688.29566004
勘辏,勘/辏,21,111,44,3507.95884521
列宁全集,列宁/全集,45,311,206,573.054272157
南方省份,南方/省份,30,261,179,523.888139729
既得利益集团,既得利益/集团,23,61,1484,207.288376563
信号传递,信号/传递,13,209,231,219.682739908
槌刹,槌/刹,14,32,48,7436.14192708
1996—1997年度,1996—1997/年度,10,15,476,1142.64845938
非关税壁垒,非/关税壁垒,68,2001,80,346.563393303
罗默,罗/默,12,129,16,4743.31976744
俜峙,俜/峙,10,28,87,3349.14203612
理货,理/货,10,119,238,288.062636819
集体议价,集体/议价,14,1055,32,338.326836493
迈入,迈/入,11,29,480,644.709841954
不可想象,不可/想象,15,690,77,230.336250706
葱隆,葱/隆,13,129,67,1227.12750202
绝对地租,绝对/地租,20,521,117,267.680824188
凶什,凶/什,12,88,175,635.728051948
Ｓ捎,Ｓ/捎,24,131,135,1107.1769296
陨淼,陨/淼,13,94,39,2893.08865248
同业拆借,同业/拆借,17,53,37,7072.65017848
诚实信用,诚实/信用,14,60,591,322.106993796
截稿,截/稿,11,19,239,1976.29619027
方向调节税,方向/调节税,15,1270,19,507.159759635
包袱沉重,包袱/沉重,12,110,170,523.540748663
找娴,找/娴,13,276,183,209.987784113
张五常,张/五常,35,323,35,2525.85448916
宪法修正案,宪法/修正案,12,221,22,2013.61826409
横轴,横/轴,10,43,54,3513.57019811
特惠,特/惠,19,207,37,2023.91552422
级差地租,级差/地租,13,26,117,3486.54273504
质量低劣,质量/低劣,18,2023,26,279.199171071
战略性改组,战略性/改组,55,380,239,494.074047567
纺织品配额,纺织品/配额,13,204,184,282.557091858
风俗习惯,风俗/习惯,16,33,276,1433.20333773
化学制品,化学/制品,13,148,286,250.568488943
日常交往,日常/交往,15,141,269,322.649292098
战争创伤,战争/创伤,12,271,21,1720.29731154
迁往,迁/往,16,105,217,572.903928023
不可再生,不可/再生,24,690,85,333.852071611
审计事务所,审计/事务所,10,623,51,256.774934693
蓬勃兴起,蓬勃/兴起,18,126,323,360.836355595
新闻媒体,新闻/媒体,13,85,163,765.504366655
辽宁大连,辽宁/大连,20,129,77,1642.70814457
商业周刊,商业/周刊,49,2049,74,263.653324628
笃笠,笃/笠,22,34,945,558.628135699
甚微,甚/微,27,256,199,432.395905308
何处去,何处/去,24,45,1293,336.520134055
败德行,败/德行,16,214,23,2652.09589598
花色品种,花色/品种,11,17,379,1392.88545709
北大方正,北大/方正,13,42,20,12626.2654762
⒂行,⒂/行,10,70,544,214.246586134
混合寡头,混合/寡头,12,381,68,377.883742473
学术研讨会,学术/研讨会,35,439,142,458.063861529
台陆,台/陆,39,540,157,375.303007785
⒂攀,⒂/攀,10,70,174,669.828407225
城稻,城/稻,29,206,151,760.614640262
毛额,毛/额,12,70,526,265.893862032
告别短缺,告别/短缺,17,46,817,369.045473897
即将到来,即将/到来,24,200,205,477.571317073
补亏,补/亏,23,147,70,1823.57366375
首创精神,首创/精神,10,23,803,441.740754778
弄清楚,弄/清楚,20,56,308,946.023886827
副院长,副/院长,23,324,47,1232.24146309
谔逯,谔/逯,10,50,233,700.301287554
净资产收益率,净资产/收益率,61,129,235,1641.65960746
统计局公布,统计局/公布,20,170,236,406.705383848
全员劳动生产率,全员/劳动生产率,31,46,561,980.058164768
需时日,需/时日,11,816,34,323.470335928
⒓际,⒓/际,47,96,389,1026.80476114
业绩操纵,业绩/操纵,35,366,153,509.92508661
鹊取,鹊/取,20,143,287,397.578519042
1.6倍,1.6/倍,12,27,1178,307.810224486
图们江,图们/江,49,53,184,4099.33336751
翻牌,翻/牌,13,94,94,1200.32401539
加入WTO,加入/WTO,425,860,753,535.434502301
罗马俱乐部,罗马/俱乐部,10,27,31,9747.32377539
遗留下来,遗留/下来,22,61,286,1028.81588903
边陲位置,边陲/位置,13,45,374,630.187938206
豢赡,豢/赡,29,103,188,1221.83841149
凸芾,凸/芾,17,152,190,480.244702216
蚕业主,蚕/业主,14,231,92,537.451251647
重新焕发,重新/焕发,10,768,33,321.910905934
撒哈拉以南,撒哈拉/以南,12,14,20,34965.0428571
⒒幼,⒒/幼,12,123,46,1730.33085896
芾砣,芾/砣,11,190,27,1749.38810916
芾砗,芾/砗,12,190,20,2576.37157895
芾砉,芾/砉,10,190,29,1480.67332123
兄凭,兄/凭,63,279,204,903.06087919
笠荡,笠/荡,17,945,45,326.148547913
兄乒,兄/乒,11,279,44,731.049283154
雁行形态,雁行/形态,13,24,824,536.309819984
飨裕,飨/裕,12,83,164,719.233911255
菇锥,菇/锥,10,42,94,2066.49189463
米粮,米/粮,14,194,146,403.2592148
胡鞍钢,胡/鞍钢,52,90,70,6734.00825397
平均每户,平均/每户,12,2100,15,310.800380952
刘溶沧,刘溶/沧,13,13,19,42939.5263158
笠悼,笠/悼,13,945,45,249.40771311
笠挡,笠/挡,28,945,110,219.757845118
笠翟,笠/翟,24,945,57,363.509217488
云南少数民族,云南/少数民族,16,121,242,445.789768458
虚变量,虚/变量,24,133,599,245.778352392
笠稻,笠/稻,49,945,151,280.154868776
兄频,兄/频,22,279,155,415.047334952
农耕,农/耕,59,430,163,686.762862035
暂行办法,暂行/办法,17,72,752,256.158891105
杀荆,杀/荆,20,121,55,2451.84372652
拉丁语系,拉丁语/系,12,20,560,874.126071429
笠凳,笠/凳,25,945,107,201.713642882
互渗,互/渗,16,145,17,5295.58458418
笠刀,笠/刀,14,945,38,318.070565302
无法比拟,无法/比拟,13,1196,30,295.598188406
属地原则,属地/原则,26,36,1955,301.394231316
指令性计划,指令性/计划,84,114,2775,216.631844476
报酬递增,报酬/递增,75,464,321,410.8176563
马克思主义创始人,马克思主义/创始人,21,985,49,354.975054387
借记,借/记,13,181,150,390.646887661
参考消息,参考/消息,20,574,73,389.409097418
华船,华/船,24,380,142,362.869236471
诺斯,诺/斯,40,234,320,435.81784188
社团条例,社团/条例,11,200,180,249.287805556
募壑,募/壑,12,167,99,592.161858102
大江大河,大江/大河,18,24,27,22662.5277778
克林顿总统,克林顿/总统,14,116,166,593.161300374
芯浚,芯/浚,10,235,89,390.079368874
消费品零售额,消费品/零售额,36,719,62,658.859437391
严峻考验,严峻/考验,25,328,102,609.644757293
首席经济学家,首席/经济学家,10,32,1245,204.78187751
激励相容,激励/相容,13,638,82,202.730770701
各个角落,各个/角落,14,760,29,518.235662432
笔者以为,笔者/以为,32,557,120,390.59293836
正当权益,正当/权益,16,142,366,251.166320326
产业群组,产业群/组,21,58,313,943.751845323
值得注意,值得/注意,143,483,931,259.447849882
捐杂费,捐/杂费,10,26,13,24137.6035503
英文摘要,英文/摘要,99,217,150,2481.39013825
厂长经理,厂长/经理,35,91,345,909.532887402
回归祖国,回归/祖国,44,409,276,318.002941072
净流出,净/流出,40,573,161,353.745027262
主观愿望,主观/愿望,11,244,144,255.417833561
仔细观察,仔细/观察,10,54,347,435.399188814
竞争性进口商品,竞争性/进口商品,13,409,101,256.749449273
不可阻挡,不可/阻挡,14,690,32,517.29682971
股东大会,股东/大会,38,368,105,802.337939959
切不可,切/不可,19,85,690,264.299556692
抓住机遇,抓住/机遇,89,346,645,325.360662275
鹑谔,鹑/谔,16,367,50,711.368719346
鹑谥,鹑/谥,11,367,118,207.231353623
鹑诜,鹑/诜,30,367,92,724.900189551
鹑诠,鹑/诠,17,367,172,219.717809391
囊桓,囊/桓,41,243,213,646.262311868
在线电子,在线/电子,11,26,1721,200.562307245
六七石,六七/石,10,10,133,6134.21804511
放松银根,放松/银根,26,269,59,1336.53367778
鲜明对照,鲜明/对照,15,144,61,1393.18818306
并购潮,并购/潮,15,160,77,993.325081169
懒⒌,懒/⒌,12,39,103,2437.19492158
累进所得税,累进/所得税,14,38,178,1688.63305736
偏斜,偏/斜,17,459,52,581.09045584
导噬,导/噬,28,265,58,1486.26076773
鲜明对比,鲜明/对比,16,144,217,417.742447517
医疗保健,医疗/保健,32,374,88,793.24355858
Ｕ庖,Ｕ/庖,23,265,151,468.938473073
关键时刻,关键/时刻,26,1379,73,210.715785709
凸现出来,凸现/出来,10,39,889,235.312220588
迟迟未能,迟迟/未能,10,44,220,842.821280992
卵量,卵/量,10,23,1253,283.09483327
苏联解体,苏联/解体,33,685,105,374.321626694
根本大法,根本/大法,15,1671,17,430.801034956
惯例接轨,惯例/接轨,20,177,212,434.842234303
常住单位,常住/单位,17,30,1860,248.556756272
屯晟,屯/晟,24,58,59,5721.92402104
参考书目,参考/书目,12,574,18,947.56213705
1—6月,1—6/月,11,13,628,1099.26028907
Ｋ摹,Ｋ/摹,11,106,301,281.275026641
起步晚,起步/晚,14,226,126,401.106686332
国富论,国富/论,42,44,1696,459.178575257
珠江三角洲,珠江/三角洲,141,172,188,3557.48982558
商机,商/机,73,625,176,541.428390909
外汇调剂,外汇/调剂,18,911,47,342.978676694
忧颗,忧/颗,14,130,34,2584.14343891
力役,力/役,10,382,23,928.580696563
乱罚款,乱/罚款,13,253,33,1270.33932207
朱ｒ,朱/ｒ,20,84,35,5550.00680272
达成共识,达成/共识,15,203,148,407.328085475
百货零售,百货/零售,11,39,399,576.721354669
Ｕ庑,Ｕ/庑,19,265,123,475.568921614
Ｕ庵,Ｕ/庵,23,265,123,575.688694585
Ｕ咸,Ｕ/咸,14,265,50,862.031245283
师夷,师/夷,15,42,61,4776.64519906
洋务运动,洋务/运动,21,29,686,861.207952146
忧慷,忧/慷,12,130,35,2151.69494505
欢咸,欢/咸,11,223,50,804.875426009
占有一席之地,占有/一席之地,19,713,34,639.434411352
篇论文,篇/论文,38,312,411,241.767561919
日趋激烈,日趋/激烈,41,257,480,271.156703956
龇ⅲ,龇/ⅲ,12,90,118,921.865536723
古典综合派,古典/综合派,16,661,16,1234.2677761
应急措施,应急/措施,11,17,2342,225.407168333
龇矫,龇/矫,30,90,295,921.865536723
扫清,扫/清,16,27,334,1447.50676425
引致,引/致,111,335,328,824.166918456
搞上去,搞/上去,19,802,36,536.892802715
专制主义,专制/主义,11,42,790,270.475015069
公职人员,公职/人员,24,25,1956,400.417668712
